,OTU,Size,Kingdom,Phylum,Class,Order,Family,Genus,size.sub,preferred
5110,Otu005111,183,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomycetaceae_unclassified,15,Planctomycetes
5126,Otu005127,182,Bacteria,Planctomycetes,Phycisphaerae,WD2101_soil_group,WD2101_soil_group_unclassified,WD2101_soil_group_unclassified,26,Planctomycetes
5167,Otu005168,180,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomycetaceae_unclassified,40,Planctomycetes
5191,Otu005192,179,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomycetaceae_unclassified,24,Planctomycetes
5221,Otu005222,178,Bacteria,Planctomycetes,Phycisphaerae,WD2101_soil_group,WD2101_soil_group_unclassified,WD2101_soil_group_unclassified,47,Planctomycetes
5226,Otu005227,177,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomycetaceae_unclassified,39,Planctomycetes
5258,Otu005259,175,Bacteria,Planctomycetes,Phycisphaerae,WD2101_soil_group,WD2101_soil_group_unclassified,WD2101_soil_group_unclassified,50,Planctomycetes
5317,Otu005318,173,Bacteria,Planctomycetes,Phycisphaerae,WD2101_soil_group,WD2101_soil_group_unclassified,WD2101_soil_group_unclassified,32,Planctomycetes
5451,Otu005452,167,Bacteria,Planctomycetes,Phycisphaerae,WD2101_soil_group,WD2101_soil_group_unclassified,WD2101_soil_group_unclassified,20,Planctomycetes
5546,Otu005547,163,Bacteria,Planctomycetes,Phycisphaerae,WD2101_soil_group,WD2101_soil_group_unclassified,WD2101_soil_group_unclassified,50,Planctomycetes
5665,Otu005666,158,Bacteria,Planctomycetes,Phycisphaerae,S15A-MN16,S15A-MN16_unclassified,S15A-MN16_unclassified,21,Planctomycetes
5667,Otu005668,158,Bacteria,Planctomycetes,Phycisphaerae,S-70,S-70_unclassified,S-70_unclassified,12,Planctomycetes
5709,Otu005710,156,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomycetaceae_unclassified,17,Planctomycetes
5735,Otu005736,155,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Gemmata,47,Planctomycetes
